mID,moment,CPU
661091,6.40142e+11,0.112269
661091,6.39785e+11,0.1079151
661091,6.41764e+11,0.170607
661091,6.42035e+11,0.0878824
661091,6.42174e+11,0.0761464
661091,6.37645e+11,0.0992111
661091,6.37562e+11,0.0992111
661091,6.38865e+11,0.1046001
661091,6.42038e+11,0.0780864
661091,6.39421e+11,0.1024691
661091,6.41435e+11,0.1726469
661091,6.38394e+11,0.1092861
661091,6.41128e+11,0.0847973
661091,6.3776e+11,0.0992111
661091,6.40964e+11,0.0868832
661091,6.40914e+11,0.0868832
661091,6.37109e+11,0.0
661091,6.39857e+11,0.1079151
661091,6.41007e+11,0.0868832
661091,6.41811e+11,0.170607
661091,6.39017e+11,0.1081532
661091,6.40236e+11,0.131908
661091,6.39329e+11,0.1032591
661091,6.39622e+11,0.1079151
661091,6.39135e+11,0.1061732
661091,6.40238e+11,0.131908
661091,6.41105e+11,0.0847973
661091,6.40235e+11,0.131908
661091,6.38462e+11,0.1098501
661091,6.40537e+11,0.1264362
661091,6.39288e+11,0.1061732
661091,6.39459e+11,0.1024691
661091,6.38888e+11,0.1046001
661091,6.38658e+11,0.1098501
661091,6.39472e+11,0.1024691
661091,6.38811e+11,0.1067401
661091,6.39918e+11,0.112269
661091,6.39105e+11,0.1081532
661091,6.42165e+11,0.0761464
661091,6.39773e+11,0.1079151
661091,6.38257e+11,0.1092861
661091,6.40587e+11,0.0813362
661091,6.3889e+11,0.1046001
661091,6.38547e+11,0.1098501
661091,6.39254e+11,0.1061732
661091,6.41329e+11,0.0847973
661091,6.39522e+11,0.1024691
661091,6.42062e+11,0.0761464
661091,6.39143e+11,0.1061732
661091,6.3905e+11,0.1081532
661091,6.41646e+11,0.1726469
661091,6.40077e+11,0.112269
661091,6.41707e+11,0.170607
661091,6.41438e+11,0.1726469
661091,6.37542e+11,0.0992111
661091,6.40271e+11,0.131908
661091,6.39645e+11,0.1079151
661091,6.38747e+11,0.1067401
661091,6.3705e+11,0.0
661091,6.42111e+11,0.0761464
661091,6.37399e+11,0.1026062
661091,6.39289e+11,0.1061732
661091,6.41125e+11,0.0847973
661091,6.38593e+11,0.1098501
661091,6.41669e+11,0.1726469
661091,6.40466e+11,0.131908
661091,6.41379e+11,0.0847973
661091,6.37444e+11,0.1026062
661091,6.3714e+11,0.0
661091,6.40578e+11,0.0818474
661091,6.39092e+11,0.1081532
661091,6.39477e+11,0.1024691
661091,6.38604e+11,0.1098501
661091,6.38955e+11,0.1046001
661091,6.42098e+11,0.0761464
661091,6.38968e+11,0.1046001
661091,6.37759e+11,0.0992111
661091,6.39466e+11,0.1024691
661091,6.39153e+11,0.1061732
661091,6.4018e+11,0.112269
661091,6.39277e+11,0.1061732
661091,6.39184e+11,0.1061732
661091,6.40398e+11,0.131908
661091,6.38406e+11,0.1098501
661091,6.42148e+11,0.0761464
661091,6.38767e+11,0.1067401
661091,6.40089e+11,0.112269
661091,6.38755e+11,0.1067401
661091,6.38898e+11,0.1046001
661091,6.38097e+11,0.1452531
661091,6.37678e+11,0.0992111
661091,6.39177e+11,0.1061732
661091,6.41722e+11,0.170607
661091,6.4036e+11,0.131908
661091,6.37812e+11,0.1072431
661091,6.39423e+11,0.1024691
661091,6.41831e+11,0.170607
661091,6.40643e+11,0.0813362
661091,6.37741e+11,0.0992111
661091,6.40656e+11,0.0813362
661091,6.40445e+11,0.131908
661091,6.3803e+11,0.1065831
661091,6.40618e+11,0.0813362
661091,6.41316e+11,0.0847973
661091,6.4054e+11,0.1264362
661091,6.41047e+11,0.0868832
661091,6.38691e+11,0.1098501
661091,6.3856e+11,0.1098501
661091,6.41974e+11,0.170607
661091,6.39055e+11,0.1081532
661091,6.38914e+11,0.1046001
661091,6.38043e+11,0.1065831
661091,6.38074e+11,0.1065831
661091,6.39594e+11,0.1024691
661091,6.40496e+11,0.131908
661091,6.37621e+11,0.0992111
661091,6.40839e+11,0.0868832
661091,6.39819e+11,0.1079151
661091,6.38488e+11,0.1098501
661091,6.37707e+11,0.0992111
661091,6.38516e+11,0.1098501
661091,6.40602e+11,0.0813362
661091,6.40115e+11,0.112269
661091,6.416e+11,0.1726469
661091,6.38425e+11,0.1098501
661091,6.40522e+11,0.1264362
661091,6.41272e+11,0.0847973
661091,6.37406e+11,0.1026062
661091,6.42273e+11,0.0761464
661091,6.38433e+11,0.1098501
661091,6.3886e+11,0.1046001
661091,6.39827e+11,0.1079151
661091,6.37758e+11,0.0992111
661091,6.4165e+11,0.1726469
661091,6.41952e+11,0.170607
661091,6.40011e+11,0.112269
661091,6.39134e+11,0.1061732
661091,6.40316e+11,0.131908
661091,6.40874e+11,0.0868832
661091,6.41381e+11,0.0847973
661091,6.37369e+11,0.1026062
661091,6.38434e+11,0.1098501
661091,6.41737e+11,0.170607
661091,6.40938e+11,0.0868832
661091,6.40773e+11,0.0813362
661091,6.3718e+11,0.02625
661091,6.40468e+11,0.131908
661091,6.40975e+11,0.0868832
661091,6.41277e+11,0.0847973
661091,6.41136e+11,0.0847973
661091,6.40944e+11,0.0868832
661091,6.40199e+11,0.112269
661091,6.40506e+11,0.1264362
661091,6.39452e+11,0.1024691
661091,6.39144e+11,0.1061732
661091,6.38255e+11,0.1092861
661091,6.4133e+11,0.0847973
661091,6.40151e+11,0.112269
661091,6.41803e+11,0.170607
661091,6.40549e+11,0.1264362
661091,6.38903e+11,0.1046001
661091,6.38385e+11,0.1092861
661091,6.41327e+11,0.0847973
661091,6.38557e+11,0.1098501
661091,6.3893e+11,0.1046001
661091,6.38416e+11,0.1098501
661091,6.42153e+11,0.0761464
661091,6.40991e+11,0.0868832
661091,6.41585e+11,0.1726469
661091,6.38858e+11,0.1046001
661091,6.41385e+11,0.0847973
661091,6.37098e+11,0.0
661091,6.38909e+11,0.1046001
661091,6.40538e+11,0.1264362
661091,6.38768e+11,0.1067401
661091,6.39784e+11,0.1079151
661091,6.4203e+11,0.0878824
661091,6.37575e+11,0.0992111
661091,6.38376e+11,0.1092861
661091,6.39585e+11,0.1024691
661091,6.38529e+11,0.1098501
661091,6.40953e+11,0.0868832
661091,6.39937e+11,0.112269
661091,6.37628e+11,0.0992111
661091,6.39974e+11,0.112269
661091,6.39064e+11,0.1081532
661091,6.39875e+11,0.1079151
661091,6.37925e+11,0.1072431
661091,6.38921e+11,0.1046001
661091,6.38623e+11,0.1098501
661091,6.40584e+11,0.0813362
661091,6.41804e+11,0.170607
661091,6.38776e+11,0.1067401
661091,6.3708e+11,0.0
661091,6.41742e+11,0.170607
661091,6.38804e+11,0.1067401
661091,6.42242e+11,0.0761464
661091,6.37849e+11,0.1072431
661091,6.39154e+11,0.1061732
661091,6.38211e+11,0.1092861
661091,6.3901e+11,0.1081532
661091,6.41196e+11,0.0847973
661091,6.39701e+11,0.1079151
661091,6.41856e+11,0.170607
661091,6.41195e+11,0.0847973
661091,6.399e+11,0.112269
661091,6.41528e+11,0.1726469
661091,6.38742e+11,0.1067401
661091,6.38235e+11,0.1092861
661091,6.42188e+11,0.0761464
661091,6.39495e+11,0.1024691
661091,6.41333e+11,0.0847973
661091,6.38178e+11,0.1092861
661091,6.37503e+11,0.0992111
661091,6.41906e+11,0.170607
661091,6.41927e+11,0.170607
661091,6.37297e+11,0.1026062
661091,6.4047e+11,0.131908
661091,6.40937e+11,0.0868832
661091,6.41976e+11,0.170607
661091,6.39488e+11,0.1024691
661091,6.3987e+11,0.1079151
661091,6.38154e+11,0.1092861
661091,6.40837e+11,0.0868832
661091,6.40696e+11,0.0813362
661091,6.389e+11,0.1046001
661091,6.40209e+11,0.131908
661091,6.40724e+11,0.0813362
661091,6.39738e+11,0.1079151
661091,6.38965e+11,0.1046001
661091,6.38291e+11,0.1092861
661091,6.40621e+11,0.0813362
661091,6.39737e+11,0.1079151
661091,6.40298e+11,0.131908
661091,6.40805e+11,0.0868832
661091,6.38575e+11,0.1098501
661091,6.40109e+11,0.112269
661091,6.38813e+11,0.1067401
661091,6.39532e+11,0.1024691
661091,6.40551e+11,0.1264362
661091,6.38037e+11,0.1065831
661091,6.41426e+11,0.1726469
661091,6.41342e+11,0.0847973
661091,6.42086e+11,0.0761464
661091,6.38754e+11,0.1067401
661091,6.381e+11,0.1092861
661091,6.39573e+11,0.1024691
661091,6.40155e+11,0.112269
661091,6.41262e+11,0.0847973
661091,6.39848e+11,0.1079151
661091,6.41059e+11,0.0868832
661091,6.37404e+11,0.1026062
661091,6.41675e+11,0.1726469
661091,6.42021e+11,0.0878824
661091,6.40567e+11,0.1264362
661091,6.42253e+11,0.0761464
661091,6.41249e+11,0.0847973
661091,6.38749e+11,0.1067401
661091,6.38577e+11,0.1098501
661091,6.39777e+11,0.1079151
661091,6.40751e+11,0.0813362
661091,6.41614e+11,0.1726469
661091,6.41434e+11,0.1726469
661091,6.41876e+11,0.170607
661091,6.41421e+11,0.1726469
661091,6.37182e+11,0.02625
661091,6.41064e+11,0.0868832
661091,6.41822e+11,0.170607
661091,6.39173e+11,0.1061732
661091,6.38179e+11,0.1092861
661091,6.38672e+11,0.1098501
661091,6.37366e+11,0.1026062
661091,6.42072e+11,0.0761464
661091,6.38402e+11,0.1098501
661091,6.38753e+11,0.1067401
661091,6.38638e+11,0.1098501
661091,6.40885e+11,0.0868832
661091,6.37917e+11,0.1072431
661091,6.39968e+11,0.112269
661091,6.41246e+11,0.0847973
661091,6.4148e+11,0.1726469
661091,6.41448e+11,0.1726469
661091,6.39299e+11,0.1061732
661091,6.38843e+11,0.1067401
